Titel,Journal,Year,Autoren,doi,pmid,Quelle,doi_norm,Titel_norm,Inkludiere_Titel_Abstract,Inkludiere_Volltext,Erster_Ausschlussgrund,Zweiter_Ausschlussgrund,Dritter_Ausschlussgrund,Vierter_Ausschlussgrund,Notizen
Feasibility of a multidimensional home-based exercise programme for the elderly with structured support given by the general practitioner's surgery: study protocol of a single arm trial preparing an RCT [ISRCTN58562962].,BMC geriatrics,2009,Hinrichs T; Bucchi C; Brach M; Wilm S; Endres HG; Burghaus I; Trampisch HJ; Platen P,10.1186/1471-2318-9-37,19686587,PubMed,10.1186/1471-2318-9-37,feasibility of a multidimensional home based exercise programme for the elderly with structured support given by the general practitioner s surgery study protocol of a single arm trial preparing an rct isrctn58562962,Nein,Nein,Falsche Population,Kein HIIT oder Krafttraining,,,
Fencing,,2018,"Turner, A.; Fulcher, D.; Weaver, S.; Marshall, G.",,,SPONET,,fencing,Nein,Nein,Keine Kombination von Krafttraining und HIIT,,,,
fitness frontlines.,Performance Training Journal,2009,"Haff, G. Gregory",,,EBSCO,,fitness frontlines,Nein,Nein,Review / Kein Originalartikel,,,,
Fitness Profile of Police Officers from Rapid Intervention Teams of the Lisbon Metropolitan Command.,Journal of functional morphology and kinesiology,2025,Freitas JD; Massuça LM,10.3390/jfmk10010090,40137342,PubMed,10.3390/jfmk10010090,fitness profile of police officers from rapid intervention teams of the lisbon metropolitan command,Nein,Nein,Kein Interventionsdesign,Keine Kombination von Krafttraining und HIIT,Keine Kraft- und/oder Power-Outcome,,
Four weeks of off-season training improves peak oxygen consumption in female field hockey players,,2017,"Funch, L. T.; Lind, E.; True, L.; Van Langen, D.; Foley, J. T.; Hokanson, J. F.",10.3390/sports5040089,,SPONET,10.3390/sports5040089,four weeks of off season training improves peak oxygen consumption in female field hockey players,Nein,Nein,Reihenfolge nicht untersucht,Kein Kraft- und/oder Power-Outcome,,,
Fraga H-C om träning,,2003,"Holmberg, H. C.",,,SPONET,,fraga h c om tr ning,Nein,Nein,Review / Kein Originalartikel,,,,
Global consensus on optimal exercise recommendations for enhancing healthy longevity in older adults (ICFSR),"The Journal of nutrition, health and aging",2025,"Izquierdo, Mikel; de Souto Barreto, Philipe; Arai, Hidenori; Bischoff-Ferrari, Heike A.; Cadore, Eduardo L.; Cesari, Matteo; Chen, Liang-Kung; Coen, Paul M.; Courneya, Kerry S.; Duque, Gustavo; Ferrucci, Luigi; Fielding, Roger A.; García-Hermoso, Antonio; Gutiérrez-Robledo, Luis Miguel; Harridge, Stephen D.R.; Kirk, Ben; Kritchevsky, Stephen; Landi, Francesco; Lazarus, Norman; Liu-Ambrose, Teresa; Marzetti, Emanuele; Merchant, Reshma A.; Morley, John E.; Pitkälä, Kaisu H.; Ramírez-Vélez, Robinson; Rodriguez-Mañas, Leocadio; Rolland, Yves; Ruiz, Jorge G.; Sáez de Asteasu, Mikel L.; Villareal, Dennis T.; Waters, Debra L.; Won Won, Chang; Vellas, Bruno; Fiatarone Singh, Maria A.",https://doi.org/10.1016/j.jnha.2024.100401,,ScienceDirect,10.1016/j.jnha.2024.100401,global consensus on optimal exercise recommendations for enhancing healthy longevity in older adults icfsr,Nein,Nein,Review / Kein Originalartikel,,,,
Grip sommeren,,2007,"Aukland, F.",,,SPONET,,grip sommeren,Nein,Nein,Review / Kein Originalartikel,,,,
Gut microbiota and metabolic responses to a 12-week caloric restriction combined with strength and HIIT training in patients with obesity: a randomized trial.,"BMC sports science, medicine & rehabilitation",2024,Nechalová L; Bielik V; Hric I; Babicová M; Baranovičová E; Grendár M; Koška J; Penesová A,10.1186/s13102-024-01029-7,39639405,PubMed,10.1186/s13102-024-01029-7,gut microbiota and metabolic responses to a 12 week caloric restriction combined with strength and hiit training in patients with obesity a randomized trial,Nein,Nein,Reihenfolge nicht untersucht,,,,
Gut microbiota and physical exercise in obesity and diabetes – A systematic review,"Nutrition, Metabolism and Cardiovascular Diseases",2022,"Silva, John S.C.; Seguro, Camila S.; Naves, Maria Margareth V.",https://doi.org/10.1016/j.numecd.2022.01.023,,ScienceDirect,10.1016/j.numecd.2022.01.023,gut microbiota and physical exercise in obesity and diabetes a systematic review,Nein,Nein,Falsche Population,Kein Kraft- und/oder Power-Outcome,,,
Handbuch Trainingswissenschaft - Trainingslehre,,2017,,,,SPONET,,handbuch trainingswissenschaft trainingslehre,Nein,Nein,Review / Kein Originalartikel,,,,
"High-intensity interval training combined with high-load strength training improves aerobic fitness, match goals and match result during the in-season period in under-19 soccer players",,2024,"Thomakos, P.; Spyrou, K.; Tsoukos, A.; Katsikas, C.; Bogdanis, G. C.",10.3390/sports12010002,,SPONET,10.3390/sports12010002,high intensity interval training combined with high load strength training improves aerobic fitness match goals and match result during the in season period in under 19 soccer players,Nein,Nein,Falsche Population,Reihenfolge nicht untersucht,Keine Kraft- und/oder Power-Outcome,,
"High-intensity interval training combined with resistance training improves physiological capacities, strength and quality of life in multiple sclerosis patients: a pilot study.",,2018,"Zaenker, Pierre; Favret, Fabrice; Lonsdorfer, Evelyne; Muff, Guillaume; de Seze, Jérôme; JOUR",,,BASE,,high intensity interval training combined with resistance training improves physiological capacities strength and quality of life in multiple sclerosis patients a pilot study,Nein,Nein,Kein Interventionsdesign,Falsche Population,,,
Impact of aerobic water running training on peripheral immune-endocrine markers of overweight-obese women,Science & Sports,2017,"Colato, A.; Fraga, L.; Dorneles, G.; Vianna, P.; Chies, J.A.B.; Peres, A.",https://doi.org/10.1016/j.scispo.2016.04.003,,ScienceDirect,10.1016/j.scispo.2016.04.003,impact of aerobic water running training on peripheral immune endocrine markers of overweight obese women,Nein,Nein,Falsche Population,Kein HIIT oder Krafttraining,,,
Impact of Exercise Modalities on Peripheral and Central Components of Cardiorespiratory Capacity in Heart Transplantation Patients: A Systematic Review and Meta-Analysis,,2021,Natália Turri-Silva; Francisco Valdez Santos; Wanessa Camilly Caldas Rodrigues; Josuelir Silva Freire; Lawrence C. Cahalin; Kenneth Verboven; João Luiz Quaglioti Durigan; Dominique Hansen; Gerson Cipriano,,,BASE,,impact of exercise modalities on peripheral and central components of cardiorespiratory capacity in heart transplantation patients a systematic review and meta analysis,Nein,Nein,Review / Kein Originalartikel,Falsche Population,,,
"Impact of sequence in concurrent training on physical activity, body composition, and fitness in obese young males: A 12-week randomized controlled trial",Journal of Exercise Science & Fitness,2025,"Li, Zhen; Gong, Tingjun; Ren, Ziyi; Li, Jian; Zhang, Qinlong; Zhang, Jinxi; Chen, Xiaohong; Zhou, Zhixiong",https://doi.org/10.1016/j.jesf.2025.02.001,,ScienceDirect,10.1016/j.jesf.2025.02.001,impact of sequence in concurrent training on physical activity body composition and fitness in obese young males a 12 week randomized controlled trial,Ja,Nein,Kein HIIT oder Krafttraining,,,,
Impacts of Exercise Interventions on Inflammatory Markers and Vascular Adhesion Molecules in Patients With Heart Failure: A Meta-analysis of RCTs,CJC Open,2023,"Malandish, Abbas; Karimi, Asma; Naderi, Mahdi; Ghadamyari, Niloufar; Gulati, Martha",https://doi.org/10.1016/j.cjco.2023.02.009,,ScienceDirect,10.1016/j.cjco.2023.02.009,impacts of exercise interventions on inflammatory markers and vascular adhesion molecules in patients with heart failure a meta analysis of rcts,Nein,Nein,Review / Kein Originalartikel,Falsche Population,,,
Improvements of Physical Activity Performance and Motivation in Adult Men through Augmented Reality Approach: A Randomized Controlled Trial.,Journal of environmental and public health,2022,Nekar DM; Kang HY; Yu JH,10.1155/2022/3050424,35855818,PubMed,10.1155/2022/3050424,improvements of physical activity performance and motivation in adult men through augmented reality approach a randomized controlled trial,Nein,Nein,Kein HIIT oder Krafttraining,,,,
"In-season, off-ice conditioning for Minor League professional ice hockey players",,2002,"Rosene, J. M.",,,SPONET,,in season off ice conditioning for minor league professional ice hockey players,Nein,Nein,Review / Kein Originalartikel,,,,
"Influence of Acute and Chronic High-Intensity Intermittent Aerobic Plus Strength Exercise on BDNF, Lipid and Autonomic Parameters",,2019,Caique Figueiredo; Barbara M. Antunes; Thaís R. Giacon; Luiz C. M. Vanderlei; Eduardo Z. Campos; Fernando P. Peres; Nicolas W. Clark; Valéria L. G. Panissa; Fábio S. Lira,,,BASE,,influence of acute and chronic high intensity intermittent aerobic plus strength exercise on bdnf lipid and autonomic parameters,Nein,Nein,Reihenfolge nicht untersucht,,,,
Влияние различных тренировочных программ на физиологические адаптации у взрослых пловцов ; Influence of different training programs on physiological adaptations in adult swimmers,,2021,"Маннанов, Эдуард Исмагилович",,,BASE,,influence of different training programs on physiological adaptations in adult swimmers,Nein,Nein,Review / Kein Originalartikel,Sprache nicht Englisch / Deutsch,,,
"Influence of strength and flexibility training, combined or isolated, on strength and flexibility gains.",Journal of strength and conditioning research,2015,Leite T; de Souza Teixeira A; Saavedra F; Leite RD; Rhea MR; Simão R,10.1519/JSC.0000000000000719,25268286,PubMed,10.1519/jsc.0000000000000719,influence of strength and flexibility training combined or isolated on strength and flexibility gains,Nein,Nein,Kein HIIT oder Krafttraining,,,,
Integrated Resistance and Aerobic Training Maintains Cardiovascular and Skeletal Muscle Fitness During 14 Days of Bed Rest,,2012,"Hackney, Kyle; Wickwire, Jason; Snyder, Scott; Crowell, Brent; Ploutz-Snyder, Lori; Goetchius, Elizabeth; Ploutz-Snyder, Robert",,,BASE,,integrated resistance and aerobic training maintains cardiovascular and skeletal muscle fitness during 14 days of bed rest,Nein,Nein,Falsche Population,Reihenfolge nicht untersucht,,,
Intensification of endurance training with superimposed electromyostimulation: acute hormonal & metabolic responses,,2013,"Wahl, P.; Hein, M.; Achtzehn, S.; Mester, J.",,,SPONET,,intensification of endurance training with superimposed electromyostimulation acute hormonal metabolic responses,Nein,Nein,Keine Kombination von Krafttraining und HIIT,,,,
Intensification of endurance training with superimposed electrostimulation: acute hormonal & metabolic responses,,2013,"Wahl, P.; Hein, M.; Achtzehn, S.; Mester, J.",,,SPONET,,intensification of endurance training with superimposed electrostimulation acute hormonal metabolic responses,Nein,Nein,Keine Kombination von Krafttraining und HIIT,,,,
Interference Phenomenon with Concurrent Strength and High-Intensity Interval Training-Based Aerobic Training: An Updated Model.,,2021,"Vechin, Felipe C; Conceição, Miguel S; Telles, Guilherme D; Libardi, Cleiton A; JOUR",,,BASE,,interference phenomenon with concurrent strength and high intensity interval training based aerobic training an updated model,Nein,Nein,Review / Kein Originalartikel,Kein Interventionsdesign,,,
Interindividual responses to different exercise stimuli among insulin-resistant women,,2018,Álvarez C.; Ramírez-Vélez R.; Ramírez-Campillo R.; Ito S.; Celis-Morales C.; García-Hermoso A.; Rodriguez-Mañas L.; Lucia A.; Izquierdo M.,,,BASE,,interindividual responses to different exercise stimuli among insulin resistant women,Nein,Nein,Falsche Population,Reihenfolge nicht untersucht,,,
Interindividual variability of adaptations following either traditional strength or power training combined to endurance training in older men: A secondary analysis of a randomized clinical trial,Experimental Gerontology,2022,"Formighieri, Carolina; Müller, Diana C.; Sáez de Asteasu, Mikel L.; Mello, Alexandre; Teodoro, Juliana L.; Boeno, Francesco; Grazioli, Rafael; Cunha, Giovani dos S.; Pietta-Dias, Caroline; Izquierdo, Mikel; Pinto, Ronei S.; Cadore, Eduardo L.",https://doi.org/10.1016/j.exger.2022.111984,,ScienceDirect,10.1016/j.exger.2022.111984,interindividual variability of adaptations following either traditional strength or power training combined to endurance training in older men a secondary analysis of a randomized clinical trial,Nein,Nein,Reihenfolge nicht untersucht,,,,
Intermittent versus continuous exercise training in chronic heart failure: A meta-analysis,,2013,"Smart, Neil A.; Dieberg, Gudrun; Giallauria, Francesco",,,BASE,,intermittent versus continuous exercise training in chronic heart failure a meta analysis,Nein,Nein,Review / Kein Originalartikel,Falsche Population,,,
Interrelated but Not Time-Aligned Response in Myogenic Regulatory Factors Demethylation and mRNA Expression after Divergent Exercise Bouts.,Medicine and science in sports and exercise,2023,Telles GD; Libardi CA; Conceição MS; Vechin FC; Lixandrão ME; Mangone FRR; Pavanelli AC; Nagai MA; Camera DM; Hawley JA; Ugrinowitsch C,10.1249/MSS.0000000000003049,36136603,PubMed,10.1249/mss.0000000000003049,interrelated but not time aligned response in myogenic regulatory factors demethylation and mrna expression after divergent exercise bouts,Nein,Nein,Falsche Population,Kein Kraft- und/oder Power-Outcome,,,
Invester i trening,,1996,"Andersen, I.",,,SPONET,,invester i trening,Nein,Nein,Review / Kein Originalartikel,,,,
Irisin's emerging role in Parkinson's disease research: A review from molecular mechanisms to therapeutic prospects,Life Sciences,2024,"Qiu, Ruqing; Sun, Weilu; Su, Yana; Sun, Zhihui; Fan, Kangli; Liang, Yue; Lin, Xiaoyue; Zhang, Ying",https://doi.org/10.1016/j.lfs.2024.123088,,ScienceDirect,10.1016/j.lfs.2024.123088,irisin s emerging role in parkinson s disease research a review from molecular mechanisms to therapeutic prospects,Nein,Nein,Review / Kein Originalartikel,Falsche Population,,,
Is the combination of interval and resistance training more effective on physical fitness? A systematic review and Meta-analysis,,2017,"Menezes Junior,Francisco José de; Jesus,Íncare Correa de; Israel,Vera Lúcia; Leite,Neiva",,,BASE,,is the combination of interval and resistance training more effective on physical fitness a systematic review and meta analysis,Nein,Nein,Review / Kein Originalartikel,,,,
Is the combination of interval and resistance training more effective on physical fitness? A systematic review and Meta-analysis ; Será a combinação dos treinamentos intervalado e resistido mais efetiva sobre a aptidão física em adultos? Uma revisão sistemática e metanálise,,2017,"Menezes Júnior, Francisco José de; Jesus, Íncare Correa de; Israel, Vera Lúcia; JOUR",,,BASE,,is the combination of interval and resistance training more effective on physical fitness a systematic review and meta analysis ser a combina o dos treinamentos intervalado e resistido mais efetiva sobre a aptid o f sica em adultos uma revis o sistem tica e metan lise,Nein,Nein,Review / Kein Originalartikel,,,,
Keyword Index,Experimental Gerontology,2018,,https://doi.org/10.1016/S0531-5565(18)30739-3,,ScienceDirect,10.1016/s0531-5565(18)30739-3,keyword index,Nein,Nein,Review / Kein Originalartikel,,,,Keyword Index
Kickboks oyuncularına uygulanan calisthenic egzersizlerinin güç parametreleri üzerindeki etkisi.,"BMC sports science, medicine & rehabilitation",2025,Kahraman S; İri̇balcı Ş; Revan S,10.1186/s13102-025-01398-7,41327439,PubMed,10.1186/s13102-025-01398-7,kickboks oyuncular na uygulanan calisthenic egzersizlerinin g parametreleri zerindeki etkisi,Nein,Nein,Kein HIIT oder Krafttraining,,,,
Leistungsbestimmende Faktoren im Mountainbikesport - Diagnose und Training,,,"Stapelfeldt, B.; Schwirtz, A.; Hillebrecht, M.; Schumacher, O.",,,SPONET,,leistungsbestimmende faktoren im mountainbikesport diagnose und training,Nein,Nein,Review / Kein Originalartikel,,,,
"Long-Term Effects of a 6-Week Power-Based Resistance Training and Fast Walking Interval Training Program on Physical Function, Muscle Power, Disability, and Frailty in Pre-Frail and Frail Older Adults.",,2024,"Baltasar-Fernandez, Ivan; Soto-Paniagua, Hector; Alcazar, Julian; Uceta Espinosa, María Isabel; Alegre, Luis M; Gracía-García, Francisco José; Ara, Ignacio; Alfaro Acha, Ana; Losa-Reyna, José",,,BASE,,long term effects of a 6 week power based resistance training and fast walking interval training program on physical function muscle power disability and frailty in pre frail and frail older adults,Nein,Nein,Falsche Population,,,,
Managing training-induced interferences : energetic workouts and neuromuscular training ; Gestion des interférences liées au développement des qualités énergétiques et neuromusculaires,,2013,"Robineau, Julien",,,BASE,,managing training induced interferences energetic workouts and neuromuscular training gestion des interf rences li es au d veloppement des qualit s nerg tiques et neuromusculaires,Nein,Nein,Review / Kein Originalartikel,,,,
"Mehr Muskeln, weniger Fett. Hochintensives Cardio-Krafttraining - der schnellste Weg zum perfekten Body",,2012,"Remedios, R.",,,SPONET,,mehr muskeln weniger fett hochintensives cardio krafttraining der schnellste weg zum perfekten body,Nein,Nein,Review / Kein Originalartikel,,,,
"Mental fatigue: The cost of cognitive loading on weight lifting, resistance training, and cycling performance",,2023,"Staiano, W.; Bonet, L. R. S.; Romagnoli, M.; Ring, C.",10.1123/ijspp.2022-0356,,SPONET,10.1123/ijspp.2022-0356,mental fatigue the cost of cognitive loading on weight lifting resistance training and cycling performance,Nein,Nein,Kein HIIT oder Krafttraining,,,,
Metabolic effects of two high-intensity circuit training protocols: Does sequence matter?,Journal of Exercise Science & Fitness,2020,"Nuñez, Tony P.; Amorim, Fabiano T.; Beltz, Nicholas M.; Mermier, Christine M.; Moriarty, Terence A.; Nava, Roberto C.; VanDusseldorp, Trisha A.; Kravitz, Len",https://doi.org/10.1016/j.jesf.2019.08.001,,ScienceDirect,10.1016/j.jesf.2019.08.001,metabolic effects of two high intensity circuit training protocols does sequence matter,Nein,Nein,Kein Kraft- und/oder Power-Outcome,Kein Interventionsdesign,,,
"Methodological characteristics, physiological and physical effects, and future directions for combined training in soccer: a systematic review",,2021,"Ribeiro, Jorge; Afonso, José; Camões, Miguel; Sarmento, Hugo; Sá, Mário; Lima, Ricardo; Oliveira, Rafael; Clemente, Filipe Manuel",,,BASE,,methodological characteristics physiological and physical effects and future directions for combined training in soccer a systematic review,Nein,Nein,Review / Kein Originalartikel,,,,
Modelling heart rate dynamics in relation to speed and power output in sprint kayaking as a basis for training evaluation and optimisation.,European journal of sport science,2025,Jasper G; Smets C; Vidts N; Schots S; Loes S; Jaspers A; Romain M; Jean-Marie A,10.1002/ejsc.12185,39670430,PubMed,10.1002/ejsc.12185,modelling heart rate dynamics in relation to speed and power output in sprint kayaking as a basis for training evaluation and optimisation,Nein,Nein,Kein Interventionsdesign,Keine Kombination von Krafttraining und HIIT,Keine Kraft- und/oder Power-Outcome,,
"Moderate intensity continuous training, combined moderate-intensity continuous training vs combined high-intensity interval training in adults with hypertension: Randomized controlled trial",Complementary Therapies in Clinical Practice,2025,"López-Ruiz, Isabel; Ruiz-Poveda, Fernando Lozano; Masía, María Dolores; Heredia-Elvar, Juan Ramón; González-Gálvez, Noelia",https://doi.org/10.1016/j.ctcp.2025.101960,,ScienceDirect,10.1016/j.ctcp.2025.101960,moderate intensity continuous training combined moderate intensity continuous training vs combined high intensity interval training in adults with hypertension randomized controlled trial,Nein,Nein,Falsche Population,Reihenfolge nicht untersucht,Keine Kraft- und/oder Power-Outcome,,
Modulation of Countermovement Jump-Derived Markers of Neuromuscular Function With Concurrent vs. Single-Mode Resistance Training,,2020,KJ Pattison; Eric Drinkwater; DJ Bishop; NK Stepto; Jackson Fyfe,,,BASE,,modulation of countermovement jump derived markers of neuromuscular function with concurrent vs single mode resistance training,Nein,Nein,Reihenfolge nicht untersucht,,,,
Modulation of inflammatory response arising from high-intensity intermittent and concurrent strength training in physically active males,Cytokine,2017,"Monteiro, Paula Alves; Campos, Eduardo Zapaterra; de Oliveira, Flaviane Poleto; Peres, Fernando Pierin; Rosa-Neto, José Cesar; Pimentel, Gustavo Duarte; Lira, Fabio Santos",https://doi.org/10.1016/j.cyto.2016.12.007,,ScienceDirect,10.1016/j.cyto.2016.12.007,modulation of inflammatory response arising from high intensity intermittent and concurrent strength training in physically active males,Nein,Nein,Kein Kraft- und/oder Power-Outcome,,,,
Mood Status Response to Physical Activity and Its Influence on Performance: Are Chronotype and Exercise Timing Affect?,International journal of environmental research and public health,2023,Liu H; Liang J; Wang K; Zhang T; Liu S; Luo J,10.3390/ijerph20042822,36833520,PubMed,10.3390/ijerph20042822,mood status response to physical activity and its influence on performance are chronotype and exercise timing affect,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
Muscle fatigue and interference phenomenon during concurrent aerobic and strength training: An alternative hypothetical model,Medical Hypotheses,2025,"Denadai, Benedito Sérgio; Greco, Camila Coelho",https://doi.org/10.1016/j.mehy.2025.111614,,ScienceDirect,10.1016/j.mehy.2025.111614,muscle fatigue and interference phenomenon during concurrent aerobic and strength training an alternative hypothetical model,Nein,Nein,Review / Kein Originalartikel,,,,
Muscle Fatigue Is Attenuated When Applying Intermittent Compared With Continuous Blood Flow Restriction During Endurance Cycling.,International journal of sports physiology and performance,2022,Corvino RB; Scheffer DDL; Penteado Dos Santos R; Latini A; Oliveira AS; Caputo F,10.1123/ijspp.2021-0523,35551112,PubMed,10.1123/ijspp.2021-0523,muscle fatigue is attenuated when applying intermittent compared with continuous blood flow restriction during endurance cycling,Nein,Nein,Keine Kombination von Krafttraining und HIIT,,,,
Muscle protein synthesis responses following aerobic-based exercise or high-intensity interval training with or without protein ingestion: a systematic review,,2022,"Bagheri, R.; Robinson, I.; Moradi, S.; Purcell, J.; Schwab, E.; Silva, T.; Baker, B.; Camera, D. M.",10.1007/s40279-022-01707-x,,SPONET,10.1007/s40279-022-01707-x,muscle protein synthesis responses following aerobic based exercise or high intensity interval training with or without protein ingestion a systematic review,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
Muscular Adaptations to Concurrent Resistance Training and High-Intensity Interval Training in Adults with Type 2 Diabetes. A Pilot Study,,2023,"Orlando, Giorgio; Pugh, Jamie; Faulkner, Steve; Balducci, Stefano; Sacchetti, Massimo; Pugliese, Giuseppe; Bazzucchi, Ilenia; Haxhi, Jonida; Martinez-Valdes, Eduardo; Falla, Deborah; Manolopoulos, Konstantinos; Nimmo, Myra A",,,BASE,,muscular adaptations to concurrent resistance training and high intensity interval training in adults with type 2 diabetes a pilot study,Nein,Nein,Falsche Population,Reihenfolge nicht untersucht,,,
Muscular Strength Spurts in Adolescent Male Basketball Players: The INEX Study.,International journal of environmental research and public health,2021,Guimarães E; Maia JAR; Williams M; Sousa F; Santos E; Tavares F; Janeira MA; Baxter-Jones ADG,10.3390/ijerph18020776,33477582,PubMed,10.3390/ijerph18020776,muscular strength spurts in adolescent male basketball players the inex study,Nein,Nein,Kein Interventionsdesign,Falsche Population,,,
Northugs 3 onsker,,2011,,,,SPONET,,northugs 3 onsker,Nein,Nein,Kein Interventionsdesign,,,,
Okklusionstraining mit dem Flossband. Maximaler Muskelaufbau bei minimaler Gewichtsbelastung,,2017,"Stechmann, K.",,,SPONET,,okklusionstraining mit dem flossband maximaler muskelaufbau bei minimaler gewichtsbelastung,Nein,Nein,Review / Kein Originalartikel,,,,
Optimization of Exercise Countermeasures for Human Space Flight: Operational Considerations for Concurrent Strength and Aerobic Training.,Frontiers in physiology,2019,Jones TW; Petersen N; Howatson G,10.3389/fphys.2019.00584,31156461,PubMed,10.3389/fphys.2019.00584,optimization of exercise countermeasures for human space flight operational considerations for concurrent strength and aerobic training,Nein,Nein,Review / Kein Originalartikel,,,,
"Optimizing Exercise for Type 2 Diabetes Management: Comparative Insights from Aerobic, Resistance, Interval and Combined Training Protocols",,2025,Yongsheng Lan; Yujue Wang; Ruisi Wu; Ping Lv,,,BASE,,optimizing exercise for type 2 diabetes management comparative insights from aerobic resistance interval and combined training protocols,Nein,Nein,Review / Kein Originalartikel,Falsche Population,,,
"Order of same-day concurrent training influences some indices of power development, but not strength, lean mass, or aerobic fitness in healthy, moderately-active men after 9 weeks of training.",PloS one,2020,Lee MJ; Ballantyne JK; Chagolla J; Hopkins WG; Fyfe JJ; Phillips SM; Bishop DJ; Bartlett JD,10.1371/journal.pone.0233134,32407361,PubMed,10.1371/journal.pone.0233134,order of same day concurrent training influences some indices of power development but not strength lean mass or aerobic fitness in healthy moderately active men after 9 weeks of training,Ja,Ja,,,,,
Oxford Textbook of Children's Sport and Exercise Medicine,,2023,,10.1093/med/9780192843968.001.0001,,SPONET,10.1093/med/9780192843968.001.0001,oxford textbook of children s sport and exercise medicine,Nein,Nein,Review / Kein Originalartikel,Kein Interventionsdesign,Falsche Population,,
Physical activity and COVID-19. The basis for an efficient intervention in times of COVID-19 pandemic,Physiology & Behavior,2022,"Clemente-Suárez, Vicente Javier; Beltrán-Velasco, Ana Isabel; Ramos-Campo, Domingo Jesús; Mielgo-Ayuso, Juan; Nikolaidis, Pantelis A.; Belando, Noelia; Tornero-Aguilera, Jose Francisco",https://doi.org/10.1016/j.physbeh.2021.113667,,ScienceDirect,10.1016/j.physbeh.2021.113667,physical activity and covid 19 the basis for an efficient intervention in times of covid 19 pandemic,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
Physiological adaptations in untrained adolescent athletes participating in concurrent training programs,,2024,"Payne, Courtney",,,BASE,,physiological adaptations in untrained adolescent athletes participating in concurrent training programs,Ja,Nein,Falsche Population,,,,
Physiological Responses and Performance during an Integrated High-Intensity Interval Aerobic and Power Training Protocol.,"Sports (Basel, Switzerland)",2024,Psarras II; Bogdanis GC,10.3390/sports12030076,38535739,PubMed,10.3390/sports12030076,physiological responses and performance during an integrated high intensity interval aerobic and power training protocol,Nein,Nein,Keine Kombination von Krafttraining und HIIT,,,,
Physiological responses to partial-body cryotherapy performed during a concurrent strength and endurance session,Applied Physiology Nutrition and Metabolism,2018,"Piras, Alessandro; Campa, Francesco; Toselli, Stefania; Di Michele, Rocco; Raffi, Milena",https://doi.org/10.1139/apnm-2018-0202,,ScienceDirect,10.1139/apnm-2018-0202,physiological responses to partial body cryotherapy performed during a concurrent strength and endurance session,Nein,Nein,Kein Kraft- und/oder Power-Outcome,Kein HIIT oder Krafttraining,,,
Physiology of sport and exercise,,2015,"Kenney, W. L.; Wilmore, J.; Costill , D.",,,SPONET,,physiology of sport and exercise,Nein,Nein,Review / Kein Originalartikel,,,,
Poster,The Journal of Frailty & Aging,2018,,https://doi.org/10.14283/jfa.2018.4,,ScienceDirect,10.14283/jfa.2018.4,poster,Nein,Nein,Review / Kein Originalartikel,,,,
Practical Guide to Exercise Physiology. 2nd Edition,,2021,"Murray, R.; Kenney, W. L.",,,SPONET,,practical guide to exercise physiology 2nd edition,Nein,Nein,Review / Kein Originalartikel,Kein Interventionsdesign,,,
Practical home-based physical activity programs for university students during the COVID-19 pandemic,,2021,"Zhang, S.; Yu, L.",10.23736/S0022-4707.20.11607-4,,SPONET,10.23736/s0022-4707.20.11607-4,practical home based physical activity programs for university students during the covid 19 pandemic,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
Protein supplementation increases adaptations to endurance training: A systematic review and meta-analysis,Clinical Nutrition,2021,"Lin, Yen-Nung; Tseng, Tzu-Tian; Knuiman, Pim; Chan, Wing P.; Wu, Shan-Hong; Tsai, Chi-Lin; Hsu, Chih-Yang",https://doi.org/10.1016/j.clnu.2020.12.012,,ScienceDirect,10.1016/j.clnu.2020.12.012,protein supplementation increases adaptations to endurance training a systematic review and meta analysis,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
"Protein Supplementation Increases Adaptations to Low-Volume, Intra-Session Concurrent Training in Untrained Healthy Adults: A Double-Blind, Placebo-Controlled, Randomized Trial.",,2024,"Reljic, Dejan; Zieseniss, Nilas; Herrmann, Hans Joachim; Neurath, Markus Friedrich; Zopf, Yurdagül",,,BASE,,protein supplementation increases adaptations to low volume intra session concurrent training in untrained healthy adults a double blind placebo controlled randomized trial,Nein,Nein,Reihenfolge nicht untersucht,Falsche Population,,,
Pulmonary rehabilitation following exacerbations of chronic obstructive pulmonary disease.,The Cochrane database of systematic reviews,2016,Puhan MA; Gimeno-Santos E; Cates CJ; Troosters T,10.1002/14651858.CD005305.pub4,27930803,PubMed,10.1002/14651858.cd005305.pub4,pulmonary rehabilitation following exacerbations of chronic obstructive pulmonary disease,Nein,Nein,Review / Kein Originalartikel,Falsche Population,Kein HIIT oder Krafttraining,,
Radtraining - Das Jahresprogramm,,2006,"van den Bosch, P.",,,SPONET,,radtraining das jahresprogramm,Nein,Nein,Review / Kein Originalartikel,,,,
